,Audio,RT_VS,Sound_Onset,RT_TO,Acc_VS,Acc_DT,Load,Trial_Type,Sound_Hz
449,Critical,NaN,0.332,0.726,999,1,high,No Target,tone2
450,Normal,NaN,None,NaN,999,999,high,No Target,None
451,Normal,NaN,None,NaN,999,999,high,No Target,None
452,Normal,NaN,None,NaN,999,999,high,No Target,None
453,Normal,NaN,None,NaN,999,999,high,No Target,None
454,Critical,NaN,0.854,0.475,999,1,high,No Target,tone3
455,Normal,NaN,None,NaN,999,999,high,No Target,None
456,Normal,NaN,None,NaN,999,999,high,No Target,None
457,Normal,NaN,None,NaN,999,999,high,No Target,None
458,Normal,NaN,None,NaN,999,999,high,No Target,None
459,Critical,NaN,0.362,0.519,999,1,high,No Target,tone2
460,Normal,NaN,None,NaN,999,999,high,No Target,None
461,Normal,NaN,None,NaN,999,999,high,No Target,None
462,Critical,NaN,0.526,0.563,999,1,high,No Target,tone3
463,Normal,NaN,None,NaN,999,999,high,No Target,None
464,Normal,NaN,None,NaN,999,999,high,No Target,None
465,Normal,NaN,None,NaN,999,999,high,No Target,None
466,Normal,0.98,None,NaN,1,999,high,Target Present,None
467,Normal,NaN,None,NaN,999,999,high,No Target,None
468,Normal,NaN,None,NaN,999,999,high,No Target,None
469,Normal,NaN,None,NaN,999,999,high,No Target,None
470,Normal,1.1179999999999999,None,NaN,1,999,high,Target Absent,None
471,Normal,NaN,None,NaN,999,999,high,No Target,None
472,Normal,NaN,None,NaN,999,999,high,No Target,None
473,Critical,NaN,0.113,0.883,999,1,high,No Target,tone2
474,Normal,NaN,None,NaN,999,999,high,No Target,None
475,Normal,NaN,None,NaN,999,999,high,No Target,None
476,Normal,NaN,None,NaN,999,999,high,No Target,None
477,Normal,NaN,None,NaN,999,999,high,No Target,None
478,Normal,NaN,None,NaN,999,999,high,No Target,None
479,Normal,NaN,None,NaN,999,999,high,No Target,None
